trade_name,substance,atc,group,registration_number,manufacturer,form,dosage_adult,dosage_children,storage_conditions,shelf_life,dispensing_rule,indications,contraindications,side_effects,analogs,interacts_with,risk_level,interaction_note,synonyms
Парацетамол,Парацетамол,N02BE01,Анальгетики,N964936,Фармстандарт,таблетки,"500–1000 мг до 4 раз в сутки, не более 4 г/сутки",10–15 мг/кг 4 раза в сутки,Не выше 25 C,3 года,prescription,боль;жар,тяжёлая печёночная недостаточность,гепатотоксичность,Панадол;Эффералган,Варфарин,medium,Усиление антикоагулянтного эффекта в высоких дозах,панадол
Амлодипин,Амлодипин,C08CA01,Блокаторы кальциевых каналов,N514795,Pfizer,таблетки,5–10 мг 1 раз в сутки,"с 6 лет: 2,5–5 мг 1 раз в сутки",Не выше 25 C,3 года,prescription,гипертензия;стенокардия,шок;коллапс,отёки;головокружение,Норваск,Симвастатин,medium,Повышение концентрации симвастатина,норваск
Бисопролол,Бисопролол,C07AB07,Бета-блокаторы,N325671,Merck,таблетки,"2,5–10 мг 1 раз в сутки",с 18 лет (детская схема по показаниям),Не выше 25 C,3 года,prescription,гипертензия;ИБС,бронхиальная астма,брадикардия,Конкор,Верапамил,high,Риск выраженной брадикардии,конкор
Рамиприл,Рамиприл,C09AA05,Ингибиторы АПФ,N730690,Sanofi,капсулы,"2,5–10 мг 1 раз в сутки",с 18 лет,Не выше 25 C,3 года,prescription,гипертензия,беременность,кашель,Тритаце,Калийсберегающие диуретики,high,Риск гиперкалиемии,тритаце
Кларитромицин,Кларитромицин,J01FA09,Макролиды,N986508,Abbott,таблетки,250–500 мг 2 раза в сутки 7–14 дней,"7,5 мг/кг 2 раза в сутки",Не выше 25 C,3 года,prescription,инфекции дыхательных путей,печёночная недостаточность,диспепсия,Клацид,Аторвастатин,high,Повышение концентрации аторвастатина,клацид
Цефтриаксон,Цефтриаксон,J01DD04,Цефалоспорины,N287117,Roche,порошок,1–2 г 1 раз в сутки в/м или в/в,50–75 мг/кг 1 раз в сутки (макс. 2 г),Не выше 25 C,3 года,prescription,сепсис;менингит,новорождённые с гипербилирубинемией,диарея,Лонгацеф,Варфарин,medium,Усиление антикоагулянтного эффекта,лонгацеф
Диклофенак,Диклофенак,M01AB05,НПВС,N771602,Novartis,таблетки,50 мг 2–3 раза в сутки или 75 мг 2 раза в сутки,с 6 лет: 1–3 мг/кг/сутки в 2–3 приёма,Не выше 25 C,3 года,prescription,артрит;боль,язва;беременность 3 триместр,гастропатия,Вольтарен,Литий,medium,Повышение концентрации лития в крови,вольтарен
Напроксен,Напроксен,M01AE02,НПВС,N604333,Roche,таблетки,250–500 мг 2 раза в сутки,с 2 лет: 5–7 мг/кг 2 раза в сутки,Не выше 25 C,3 года,prescription,боль;ревматизм,язва ЖКТ,тошнота,Налгезин,Метотрексат,high,Повышение токсичности метотрексата,налгезин
Азитромицин,Азитромицин,J01FA10,Макролиды,N188311,Pfizer,капсулы,"500 мг 1 раз в сутки 3 дня или 500 мг в 1-й день, затем 250 мг 4 дня",10 мг/кг 1 раз в сутки 3 дня,Не выше 25 C,3 года,prescription,инфекции,холестаз,диарея,Сумамед,Варфарин,medium,Возможно усиление МНО,сумамед
Фуросемид,Фуросемид,C03CA01,Диуретики,N688319,Sanofi,таблетки,20–80 мг 1–2 раза в сутки,1–2 мг/кг 1–2 раза в сутки,Не выше 25 C,3 года,prescription,отёки;ХСН,анурия,гипокалиемия,Лазикс,Дигоксин,medium,Риск токсичности дигоксина при гипокалиемии,лазикс
Спиронолактон,Спиронолактон,C03DA01,Диуретики,N596634,Pfizer,таблетки,25–100 мг 1 раз в сутки,1–3 мг/кг/сутки,Не выше 25 C,3 года,prescription,ХСН;гипертензия,гиперкалиемия,гинекомастия,Верошпирон,Лизиноприл,medium,Риск гиперкалиемии при сочетании с ИАПФ,верошпирон
Преднизолон,Преднизолон,H02AB06,ГКС,N409149,Vertex,таблетки,5–60 мг/сутки в 1–2 приёма по схеме,"0,5–2 мг/кг/сутки",Не выше 25 C,3 года,prescription,воспаление;аллергия,системные грибковые инфекции,остеопороз,Медопред,НПВС,medium,Повышенный риск язв ЖКТ,медопред
Дексаметазон,Дексаметазон,H02AB02,ГКС,N644326,Merck,ампулы,"0,5–10 мг/сутки в 1–4 приёма","0,1–0,5 мг/кг/сутки",Не выше 25 C,3 года,prescription,отёк мозга;COVID-19,системные инфекции без терапии,гипергликемия,Дексонал,Метформин,medium,Ухудшение контроля гликемии,дексонал
Симвастатин,Симвастатин,C10AA01,Статины,N646270,Merck,таблетки,10–40 мг 1 раз в сутки вечером,с 10 лет: 10–40 мг вечером,Не выше 25 C,3 года,prescription,дислипидемия,активное заболевание печени,миалгия,Зокор,Амлодипин,high,Повышение концентрации симвастатина,зокор
Розувастатин,Розувастатин,C10AA07,Статины,N162487,AstraZeneca,таблетки,5–20 мг 1 раз в сутки,с 10 лет: 5–10 мг 1 раз в сутки,Не выше 25 C,3 года,prescription,гиперхолестеринемия,миопатия,головная боль,Магнерот,Гемфиброзил,high,Риск миопатии при комбинации,магнерот
Клоназепам,Клоназепам,N03AE01,Противосудорожные,N796238,Roche,таблетки,"0,5–2 мг 2–3 раза в сутки",с 18 лет (эпилепсия у детей — по схеме),Не выше 25 C,3 года,prescription,эпилепсия;тревога,миастения,сонливость,Ривотрил,Опиоиды,high,Угнетение дыхания при сочетании с опиоидами,ривотрил
Диазепам,Диазепам,N05BA01,Транквилизаторы,N715385,Roche,таблетки,2–10 мг 2–4 раза в сутки,у детей строго по схеме врача,Не выше 25 C,3 года,prescription,тревога;судороги,миастения,сонливость,Седуксен,Алкоголь,high,Усиление угнетающего действия на ЦНС,седуксен
Трамадол,Трамадол,N02AX02,Опиоиды,N508908,Grünenthal,капсулы,"50–100 мг каждые 4–6 ч, не более 400 мг/сутки",с 12 лет: 1–2 мг/кг,Не выше 25 C,3 года,prescription,боль средней и сильной интенсивности,одновременный приём ИМАО,тошнота;головокружение,Трамал,Сертралин,high,Риск серотонинового синдрома,трамал
Кеторолак,Кеторолак,M01AB15,НПВС,N397822,Roche,раствор,"10 мг 4–6 раз в сутки, курс не более 5 дней",с 16 лет,Не выше 25 C,3 года,prescription,острая боль,язва;кровотечения,тошнота,Кетанов,Варфарин,high,Высокий риск кровотечения,кетанов
Нитроглицерин,Нитроглицерин,C01DA02,Нитраты,N898970,Pfizer,спрей,"0,4–0,8 мг сублингвально при приступе, повтор через 5 мин",не рекомендуется детям,Не выше 25 C,3 года,prescription,стенокардия,гипотензия;ШОК,головная боль,Нитроминт,Силденафил,high,Резкое снижение АД при сочетании,нитроминт
Каптоприл,Каптоприл,C09AA01,Ингибиторы АПФ,N448036,Bristol,таблетки,"12,5–50 мг 2–3 раза в сутки","0,3–0,5 мг/кг 3 раза в сутки",Не выше 25 C,3 года,prescription,гипертензия,беременность,кашель,Капотен,Калий,medium,Риск гиперкалиемии,капотен
Эналаприл,Эналаприл,C09AA02,Ингибиторы АПФ,N894811,Merck,таблетки,5–20 мг 1–2 раза в сутки,"0,08–0,6 мг/кг в 2 приёма",Не выше 25 C,3 года,prescription,ХСН;гипертензия,беременность,кашель,Энап,НПВС,medium,Снижение антигипертензивного эффекта,эналап
Сальбутамол,Сальбутамол,R03AC02,Бронхолитики,N845829,GSK,ингалятор,"100–200 мкг ингаляционно при необходимости, до 8 раз/сутки",100 мкг ингаляционно при бронхоспазме,Не выше 25 C,3 года,prescription,астма;БА,аритмия,тремор,Вентолин,Бета-блокаторы,high,Снижение эффекта бронхолитика,вентолин
Инсулин гларгин,Инсулин гларгин,A10AE04,Инсулины,N934189,Sanofi,раствор,"подкожно 1 раз в сутки, доза подбором (обычно 0,2–1 ЕД/кг)",доза индивидуально по гликемии,Не выше 25 C,3 года,prescription,диабет 1 и 2 типа,гипогликемия,гипогликемия,Лантус,Бета-блокаторы,medium,Маскировка симптомов гипогликемии,лантус
Глибенкламид,Глибенкламид,A10BB01,Сульфонилмочевина,N301386,Sanofi,таблетки,"2,5–15 мг/сутки в 1–2 приёма",с 12 лет по схеме,Не выше 25 C,3 года,prescription,диабет 2 типа,кетоацидоз,гипогликемия,Манинил,Алкоголь,high,Риск тяжёлой гипогликемии,манинил
Ранитидин,Ранитидин,A02BA02,Блокаторы H2,N938973,GSK,таблетки,150 мг 2 раза в сутки или 300 мг на ночь,2–4 мг/кг 2 раза в сутки,Не выше 25 C,3 года,prescription,язва;изжога,беременность с осторожностью,головная боль,Зантак,Кетоконазол,medium,Снижение всасывания кетоконазола,зантак
Фамотидин,Фамотидин,A02BA03,Блокаторы H2,N406432,Merck,таблетки,20–40 мг 1–2 раза в сутки,"0,5 мг/кг 2 раза в сутки",Не выше 25 C,3 года,prescription,ГЭРБ;язва,гиперчувствительность,головная боль,Квамател,Железо,low,Снижение всасывания железа,квамател
Ацикловир,Ацикловир,J05AB01,Противовирусные,N555027,GSK,таблетки,200–800 мг 5 раз в сутки по показаниям,20 мг/кг 4 раза в сутки,Не выше 25 C,3 года,prescription,герпес;ветрянка,беременность с осторожностью,тошнота,Зовиракс,Пробенецид,medium,Повышение концентрации ацикловира,зовиракс
Омепразол+Амоксициллин,Омепразол и амоксициллин,A02BD01,Эрадикация H.pylori,N125775,комбинат,капсулы,омепразол 20 мг 2 р/сут + амоксициллин 1000 мг 2 р/сут 7–14 дней (эрадикация H. pylori),схема для детей по весу — по протоколу,Не выше 25 C,3 года,prescription,язва Helicobacter,аллергия на пенициллин,диарея,Пилобакт,Кларитромицин,medium,Стандартная тройная терапия — согласовать схему,пилобакт
Клопидогрел,Клопидогрел,B01AC04,Антиагреганты,N639942,Sanofi,таблетки,75 мг 1 раз в сутки,с 18 лет,Не выше 25 C,3 года,prescription,тромбоз;стент,кровотечение,кровотечение,Плавикс,Омепразол,medium,Возможно снижение антиагрегантного эффекта при ИПП,плавикс
